Serial_Number	Centroid_X_Coordinates	Centroid_Y_Coordinates	islandSize_by_5_in_PIXELS
1	14.6647727272727	385.352272727273	35.2
2	19.9756097560976	630.170731707317	32.8
3	18.5505617977528	796.011235955056	17.8
4	24.1509433962264	991.339622641509	21.2
5	29.5018587360595	1117.86988847584	53.8
6	28.5931034482759	420.455172413793	29
7	56.0835266821346	875.354988399072	86.2
8	56.483660130719	    666.261437908497	61.2
9	59.1157556270096	240.032154340836	62.2
10	61.5130890052356	1260.67539267016	38.2
11	65.7596153846154	409.586538461538	20.8
12	73.2978723404255	138.563829787234	56.4
13	75.2404092071611	713.831202046036	78.2
14	74.0809248554913	930.658959537572	34.6
15	74.4558823529412	633.992647058824	27.2
16	85.104347826087	    755.695652173913	46
17	86.9150326797386	1130.33986928105	30.6
18	88.8235294117647	299.536764705882	27.2
19	95.8709677419355	13.4032258064516	24.8
20	109.355889724311	855.100250626566	79.8
21	112.657657657658	465.153153153153	22.2
22	118.994047619048	883.58630952381	    67.2
23	116.64	            802.693333333333	15
24	123.95197740113	    837.471751412429	70.8
25	133.526405451448	406.625212947189	117.4
26	131.78640776699	    711.915857605178	61.8
27	132.186440677966	330.347457627119	23.6
28	131.481012658228	505.848101265823	15.8
29	144.211796246649	843.193029490617	74.6
30	146.608695652174	912.670807453416	32.2
31	158.165680473373	439.692307692308	33.8
32	165.09375	        46.06875	        32
33	177.355056179775	848.757303370787	89
34	178.94776119403	    210.60447761194	    53.6
35	182.08606557377	    961.491803278689	48.8
36	182.359788359788	1109.24867724868	37.8
37	193.124031007752	895.658914728682	51.6
38	200.488524590164	199.554098360656	61
39	212.533962264151	624.622641509434	106
40	216.061769616027	411.570951585977	119.8
41	214.141630901288	1105.52789699571	46.6
42	214.672839506173	1058.04320987654	32.4
43	223.965333333333	820.698666666667	75
44	221.690721649485	155.572164948454	38.8
45	236.575539568345	582.122302158273	27.8
46	243.20293398533	    997.970660146699	81.8
47	252.161904761905	843.180952380952	105
48	257.715976331361	689.12426035503	    169
49	260.66846361186	    531.436657681941	74.2
50	262.040485829959	290.032388663968	49.4
51	262.924137931034	441.386206896552	58
52	263.310526315789	876.407894736842	76
53	264.988059701493	354.591044776119	67
54	275.295555555556	842.617777777778	90
55	279.373983739837	680.134146341463	49.2
56	295.555767397521	715.244995233556	209.8
57	288.984732824427	940.885496183206	78.6
58	301.708661417323	1092.63779527559	76.2
59	303.546125461255	165.616236162362	54.2
60	306.107344632768	670.536723163842	35.4
61	310.182336182336	260.737891737892	70.2
62	318.994889267462	873.768313458262	117.4
63	311.4609375	        1194.640625	        25.6
64	326.923273657289	100.971867007673	78.2
65	325.229452054795	434.13698630137	    58.4
66	325.536312849162	1237.98324022346	35.8
67	330.093548387097	1071.85806451613	62
68	334.339160839161	1047.54195804196	57.2
69	352.252767527675	92.6918819188192	108.4
70	353.916666666667	371.87015503876	    103.2
71	349.267716535433	1152.97637795276	25.4
72	357.31067961165     533.208737864078	41.2
73	373.054607508532	968.17747440273	    58.6
74	380.988439306358	382.761078998073	103.8
75	378.694444444444	948.530555555556	72
76	381.977591036415	241.817927170868	71.4
77	387.449438202247	13.1432584269663	71.2
78	397.867647058824	733.176470588235	54.4
79	399.271604938272	571.41975308642	    16.2
80	405.726495726496	899.649572649573	23.4
81	410.042253521127	606.084507042254	28.4
82	417.208530805687	171.457345971564	84.4
83	415.067692307692	1151.76615384615	65
84	416.835106382979	1025.64361702128	37.6
85	421.36443148688	    406.97667638484	    68.6
86	428.525373134328	204.883582089552	67
87	432.883720930233	815.453488372093	17.2
88	448.896153846154	423.138461538462	52
89	453.140845070423	727.246478873239	28.4
90	460.036057692308	473.425480769231	83.2
91	459.838709677419	1186.46543778802	43.4
92	483.49375	        221.459375	        64
93	486.218309859155	87.9260563380282	56.8
94	507.462540716612	458.256243213898	184.2
95	495.457489878543	504.708502024291	49.4
96	499.789672544081	313.801007556675	158.8
97	515.149484536082	1079.24742268041	155.2
98	524.176666666667	190.46	            60
99	525.128415300546	616.877049180328	73.2
100	523.511111111111	1191.93333333333	54
101	538.213286713287	636.952797202797	114.4
102	535.448275862069	829.51724137931	    23.2
103	559.892857142857	853.723214285714	22.4
104	570.852873563218	387.225287356322	87
105	573.040697674419	784.866279069767	34.4
106	580.484905660377	929.78679245283	    106
107	582.757314974182	54.4440619621342	116.2
108	577.429245283019	812.580188679245	42.4
109	583.589830508475	342.4	            59
110	596.127551020408	377.329081632653	78.4
111	596.363171355499	625.593350383632	78.2
112	601.988970588235	1139.55882352941	54.4
113	606.947890818859	127.096774193548	80.6
114	614.839805825243	197.638349514563	82.4
115	629.129496402878	63.8471223021583	111.2
116	625.71119133574	    483.660649819495	55.4
117	623.972850678733	714.683257918552	44.2
118	634.078125	        1021.171875	        25.6
119	642.191549295775	253.819718309859	71
120	644.006849315069	907.493150684931	58.4
121	646.82119205298	    340.456953642384	30.2
122	650.983122362869	477.95358649789	    47.4
123	668.268041237113	128.737113402062	116.4
124	683.189686924494	1261.55432780847	108.6
125	685.658307210031	685.037617554859	63.8
126	689.29179331307	    358.662613981763	65.8
127	687.71359223301	    908.334951456311	41.2
128	693.285077951002	616.810690423163	89.8
129	710.39367816092	    242.747126436782	69.6
130	711.881081081081	1160.83783783784	37
131	713.686507936508	495.424603174603	50.4
132	719.541044776119	1137.0223880597	    53.6
133	723.042979942693	717.618911174785	69.8
134	730.057142857143	382.532467532468	77
135	732.233438485804	693.678233438486	63.4
136	732.635542168675	801.798192771084	66.4
137	730.240506329114	904.620253164557	31.6
138	735.598484848485	59.5681818181818	26.4
139	746.64738292011	    516.118457300276	72.6
140	751.070528967254	275.463476070529	79.4
141	750.454293628809	1096.7756232687	    72.2
142	749.803370786517	1058.68539325843	35.6
143	750.461139896373	1174.78238341969	38.6
144	766.077253218884	1034.32618025751	46.6
145	771.519607843137	174.379901960784	81.6
146	768.097222222222	1213.66666666667	43.2
147	765.711111111111	59.2888888888889	18
148	769.136842105263	811.736842105263	38
149	775.872483221477	663.263982102908	89.4
150	793.249249249249	537.48948948949	    66.6
151	795.90625	        225.203125	        89.6
152	792.95719844358	    958.863813229572	51.4
153	810.128820960699	574.936681222707	91.6
154	808.757785467128	1044.98269896194	57.8
155	812.77358490566	    547.096698113208	84.8
156	818.132321041215	646.574837310195	92.2
157	823.842401500938	772.043151969981	106.6
158	824.145390070922	1030.05319148936	56.4
159	826.779569892473	323.626344086022	74.4
160	832.924024640657	577.691991786448	97.4
161	844.845605700713	807.486935866983	84.2
162	845.572864321608	355.045226130653	79.6
163	845.781144781145	899.942760942761	59.4
164	873.046169989507	677.809024134313	190.6
165	869.909547738694	996.336683417085	39.8
166	876.319565217391	77.9934782608696	92
167	876.101781170483	714.480916030534	78.6
168	875.583969465649	844.087786259542	52.4
169	877.752475247525	1188.28712871287	60.6
